date,series,value,source,retrieved_at
2024-08-01,Bebidas alcohólicas y tabaco,5336.2611,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2024-09-01,Bebidas alcohólicas y tabaco,5453.5896,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2024-10-01,Bebidas alcohólicas y tabaco,5617.0301,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2024-11-01,Bebidas alcohólicas y tabaco,5841.4971,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2024-12-01,Bebidas alcohólicas y tabaco,5987.6081,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2025-01-01,Bebidas alcohólicas y tabaco,6132.7085,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2025-02-01,Bebidas alcohólicas y tabaco,6212.9468,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2025-03-01,Bebidas alcohólicas y tabaco,6262.1312,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2025-04-01,Bebidas alcohólicas y tabaco,6440.2537,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2025-05-01,Bebidas alcohólicas y tabaco,6477.8365,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2025-06-01,Bebidas alcohólicas y tabaco,6658.8334,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2025-07-01,Bebidas alcohólicas y tabaco,6701.1649,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2025-08-01,Bebidas alcohólicas y tabaco,6932.52,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2025-09-01,Bebidas alcohólicas y tabaco,7042.0634,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2025-10-01,Bebidas alcohólicas y tabaco,7209.6846,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2025-11-01,Bebidas alcohólicas y tabaco,7293.6616,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2025-12-01,Bebidas alcohólicas y tabaco,7499.3541,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
