date,base_money,cpi_core,cpi_headline,cpi_regulated,cpi_seasonal,deposits_usd_priv,emae,embi,fiscal_financial,fiscal_primary,fx_blue,fx_ccl,fx_mep,fx_official_a3500,fx_official_retail,gdp_nominal,itcrm,m2_transac,rem_infl_12m,reserves_gross,infl_headline,infl_core,infl_regulated,infl_seasonal,gap_blue,gap_ccl,real_base,real_m2,phase,phase_label
2023-12-01,9143580.684210526,3799.9487,3533.1922,2452.7844,3942.5343,14481.368421052632,139.3357657745738,1886.047619047619,-2400352.9000000004,-1991316.1000000008,965.7142857142857,954.4257142857142,965.5866666666667,641.9947315789474,655.5952380952381,,124.87868020711336,18662770.051105265,243.4,21879.947368421053,25.46567498423684,28.25875987091053,20.679933015519826,16.229288187371594,50.42402035592559,48.66566146709048,258790.9223905375,528212.7038292813,1,Crawling peg
2024-01-01,10250234.181818182,4568.1649,4261.5324,3104.5367,4581.5309,15805.681818181818,137.54602738582324,1945.4782608695652,518407.60000000056,2010745.5000000005,1126.304347826087,1195.3554545454544,1153.543181818182,818.3454545454545,833.9565217391304,423472034.4071885,132.78358279416275,19347204.29409091,185.5,24328.68181818182,20.614225288961062,20.21648871207129,26.57193595980145,16.207762605895404,37.631893911072865,46.069786042791435,240529.30306990465,453996.41439053504,1,Crawling peg
2024-02-01,10475072.736842105,5129.5988,4825.7881,3759.784,4979.8267,16056.263157894737,133.6372238546686,1843.952380952381,338112.4000000009,1232524.500000001,1100.8333333333333,1180.646,1128.7959999999998,834.9140368421052,851.8809523809524,,115.75065110907357,20058246.069263157,142.0,26959.42105263158,13.24067605352477,12.290140839705677,21.106121889298322,8.693508975351438,31.849901278102166,41.409288609586255,217064.49847729754,415647.0539861283,1,Crawling peg
2024-03-01,10907225.105263159,5612.3991,5357.0929,4441.3132,5534.7104,16641.57894736842,142.56862047767686,1556.095238095238,276638.1999999978,625034.0999999978,1001.4285714285714,1069.6780952380952,1019.4885714285715,850.3377210526315,866.6666666666666,,105.87856476278773,21145136.740368422,112.3,27998.57894736842,11.009700156540237,9.41204797536992,18.126817923582838,11.142630726486935,17.768334467028566,25.794501261680193,203603.4339681352,394712.8999829072,1,Crawling peg
2024-04-01,12675662.5,5965.8926,5830.2271,5258.2523,6085.2438,17155.65,147.26512441308907,1279.9545454545455,17408.80000000057,264951.60000000056,1003.6363636363636,1063.727619047619,1013.0038095238097,868.958335,884.8863636363636,559938388.8647271,97.03008534822678,22208426.19245,81.3,29284.7,8.831920760605083,6.298438398652029,18.394088937479136,9.946923329538615,15.498790127418882,22.414110804014452,217412.84314636732,380918.71571263496,1,Crawling peg
2024-05-01,14904616.5,6188.6726,6073.7165,5469.5466,6521.1762,17461.409090909092,156.77658370440048,1297.7826086956522,1183571.0000000023,2332205.4000000022,1119.5652173913043,1146.4495454545454,1109.453181818182,886.8636363636364,899.0217391304348,,93.43369033746481,25429071.08086364,65.6,28599.68181818182,4.176327882665154,3.734227464973139,4.018337043279563,7.1637622801571155,26.238710381880438,29.27010404387267,245395.32755603592,418673.987843582,1,Crawling peg
2024-06-01,17829642.88235294,6414.6575,6351.7145,5910.154,6811.1236,17706.70588235294,147.3651695607501,1455.0,238188.8000000017,488568.8000000017,1281.0,1302.4185000000002,1281.3585,903.7794176470588,914.525,,89.90242462141538,29940273.78394118,61.1,29454.764705882353,4.577065788302748,3.651589195395477,8.055647610717887,4.446243915323134,41.73812492156712,44.108006286619904,280705.9870583437,471373.1038122255,1,Crawling peg
2024-07-01,21476303.136363637,6657.49,6607.7479,6166.198,7156.7976,18250.18181818182,149.69752758894006,1535.695652173913,-600957.2999999998,908252.5,1420.0,1354.763181818182,1351.6499999999999,923.7651545454545,933.0652173913044,642862095.294979,87.88160626011475,33627971.75404546,47.5,28087.545454545456,4.030933695146399,3.7855879288956507,4.332272898472689,5.075139144443064,53.71872309891592,46.65666648627847,325016.98704884964,508917.2931982689,1,Crawling peg
2024-08-01,22524708.863636363,6931.7976,6883.4412,6529.3696,7266.119,18785.18181818182,147.32757374137327,1530.409090909091,3530.499999999185,899659.9999999991,1342.3863636363637,1296.4386363636363,1295.3645454545456,942.9204454545455,952.8409090909091,,87.15818192673123,33785329.18,41.8,27557.0,4.172273279372529,4.120285573091365,5.889716807666567,1.5275183973345818,42.36475305074663,37.49183641242113,327230.35192973487,490820.3353287888,1,Crawling peg
2024-09-01,22817438.95238095,7157.9271,7122.2421,6825.2577,7479.6823,23472.333333333332,144.84378214964087,1380.4761904761904,466630.7000000005,816447.1000000006,1254.2857142857142,1248.3700000000001,1229.227,961.8254047619048,967.8571428571429,,86.04549184584984,34539265.83880953,39.4,27526.761904761905,3.4692081048066425,3.262205751650904,4.531648813386213,2.9391660114567397,30.40679816480898,29.791747423122807,320368.76354401023,484949.3369343556,1,Crawling peg
